pos_element	neg_element	POS	pos_key	neg_key	pos_definition	neg_definition	reversed_ann1	affixal/non-affixal_ann1	negative affix_ann1	positive affix_ann1	direct/indirect_ann1	subtype_ann1	reversed_ann2	affixal/non-affixal_ann2	negative affix_ann2	positive affix_ann2	direct/indirect_ann2	subtype_ann2
approachable	unapproachable	a	approachable%3:00:00::	unapproachable%3:00:00::	easy to meet or converse or do business with	discouraging intimacies; reserved	_	_	_	_	_	_	no	affixal	un-	_	direct	_
appropriate	inappropriate	a	appropriate%3:00:00::	inappropriate%3:00:00::	suitable for a particular person or place or condition etc	not suitable for a particular occasion etc	_	_	_	_	_	_	no	affixal	in-	_	direct	_
apropos	malapropos	a	apropos%3:00:00::	malapropos%3:00:00::	of an appropriate or pertinent nature	of an inappropriate or incorrectly applied nature	_	_	_	_	_	_	no	non-affixal	_	_	_	_
apteral	peripteral	a	apteral%3:00:00::	peripteral%3:00:00::	having columns at one or both ends but not along the sides	having columns on all sides	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
aquatic	amphibious	a	aquatic%3:00:00::	amphibious%3:00:00::	operating or living or growing in water	operating or living on land and in water	no	non-affixal	_	_	_	_	_	_	_	_	_	_
aquatic	terrestrial	a	aquatic%3:00:00::	terrestrial%3:00:00::	operating or living or growing in water	operating or living or growing on land	no	non-affixal	_	_	_	_	_	_	_	_	_	_
arbitrable	nonarbitrable	a	arbitrable%3:00:00::	nonarbitrable%3:00:00::	appropriate for or subject to settlement by arbitration	not appropriate for or subject to arbitration	_	_	_	_	_	_	no	affixal	non-	_	indirect	OPP
arbitrary	nonarbitrary	a	arbitrary%3:00:00::	nonarbitrary%3:00:00::	based on or subject to individual discretion or preference or sometimes impulse or caprice	not subject to individual determination	no	affixal	non-	_	direct	_	_	_	_	_	_	_
arboreal	nonarboreal	a	arboreal%3:00:00::	nonarboreal%3:00:00::	inhabiting or frequenting trees	not inhabiting or frequenting trees	no	affixal	non-	_	direct	_	_	_	_	_	_	_
arenaceous	argillaceous	a	arenaceous%3:00:00::	argillaceous%3:00:00::	resembling or containing or abounding in sand; or growing in sandy areas	resembling or containing clay	no	non-affixal	_	_	_	_	_	_	_	_	_	_
argumentative	unargumentative	a	argumentative%3:00:00::	unargumentative%3:00:00::	given to or characterized by argument	not given to or characterized by argument	_	_	_	_	_	_	no	affixal	un-	_	direct	_
armed	armless	a	armed%3:00:03::	armless%3:00:00::	having arms or arms as specified; used especially in combination	having no arms	_	_	_	_	_	_	no	affixal	-less	_	indirect	LAC
armed	unarmed	a	armed%3:00:02::	unarmed%3:00:02::	(used of plants and animals) furnished with bristles and thorns	(used of plants or animals) lacking barbs or stings or thorns	no	affixal	un-	_	direct	_	_	_	_	_	_	_
armored	unarmored	a	armored%3:00:02::	unarmored%3:00:02::	used of animals; provided with protective covering	used of animals; without protective covering	no	affixal	un-	_	direct	_	_	_	_	_	_	_
arranged	disarranged	a	arranged%3:00:00::	disarranged%3:00:00::	disposed or placed in a particular kind of order	having the arrangement disturbed; not in order	_	_	_	_	_	_	no	affixal	dis-	_	indirect	ROA
artesian	subartesian	a	artesian%3:00:00::	subartesian%3:00:00::	(of water) rising to the surface under internal hydrostatic pressure	(of water) rising naturally in a well to a height appreciably above that of the surrounding water table but not flowing out of the well	no	affixal	sub-	_	indirect	INS	_	_	_	_	_	_
artful	artless	a	artful%3:00:00::	artless%3:00:00::	marked by skill in achieving a desired end especially with cunning or craft	simple and natural; without cunning or deceit	_	_	_	_	_	_	no	affixal	-less	_	indirect	LAC
articulate	inarticulate	a	articulate%3:00:00::	inarticulate%3:00:00::	expressing yourself easily or characterized by clear expressive language	without or deprived of the use of speech or words	no	affixal	in-	_	direct	_	_	_	_	_	_	_
articulated	unarticulated	a	articulated%3:00:00::	unarticulated%3:00:00::	consisting of segments held together by joints	not consisting of segments that are held together by joints	no	affixal	un-	_	direct	_	no	affixal	un-	_	direct	_
ascending	descending	a	ascending%3:00:00::	descending%3:00:00::	moving or going or growing upward	coming down or downward	no	affixal	de-	a-	indirect	ROD	_	_	_	_	_	_
ashamed	unashamed	a	ashamed%3:00:00::	unashamed%3:00:00::	feeling shame or guilt or embarrassment or remorse	used of persons or their behavior; feeling no shame	no	affixal	un-	_	direct	_	_	_	_	_	_	_
assertive	unassertive	a	assertive%3:00:00::	unassertive%3:00:00::	aggressively self-assured	inclined to timidity or lack of self-confidence	no	affixal	un-	_	direct	_	_	_	_	_	_	_
assigned	unassigned	a	assigned%3:00:00::	unassigned%3:00:00::	appointed to a post or duty	not assigned	no	affixal	un-	_	direct	_	_	_	_	_	_	_
assisted	unassisted	a	assisted%3:00:00::	unassisted%3:00:00::	having help; often used as a combining form	lacking help	_	_	_	_	_	_	no	affixal	un-	_	direct	_
associative	nonassociative	a	associative%3:00:00::	nonassociative%3:00:00::	characterized by or causing or resulting from the process of bringing ideas or events together in memory or imagination	not associative	_	_	_	_	_	_	no	affixal	non-	_	indirect	OPP
astringent	nonastringent	a	astringent%3:00:00::	nonastringent%3:00:00::	tending to draw together or constrict soft organic tissue	not astringent	no	affixal	non-	_	direct	_	_	_	_	_	_	_
atrophied	hypertrophied	a	atrophied%3:00:00::	hypertrophied%3:00:00::	(of an organ or body part) diminished in size or strength as a result of disease or injury or lack of use	(of an organ or body part) excessively enlarged as a result of increased size in the constituent cells	no	affixal	hyper-	a-	indirect	OVA	_	_	_	_	_	_
attachable	detachable	a	attachable%3:00:00::	detachable%3:00:00::	capable of being fastened or added to something else	designed to be unfastened or disconnected without damage	no	affixal	de-	_	indirect	ROA	no	affixal	de-	_	indirect	ROD
attached	detached	a	attached%3:00:02::	detached%3:00:00::	used of buildings joined by common sidewalls	used of buildings; standing apart from others	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROD
attached	unattached	a	attached%3:00:01::	unattached%3:00:00::	associated in an exclusive sexual relationship	not associated in an exclusive sexual relationship	_	_	_	_	_	_	no	affixal	un-	_	direct	_
attentive	inattentive	a	attentive%3:00:00::	inattentive%3:00:00::	(often followed by `to') giving care or attention	showing a lack of attention or care	_	_	_	_	_	_	no	affixal	in-	_	direct	_
attractive	repulsive	a	attractive%3:00:02::	repulsive%3:00:00::	having the properties of a magnet; the ability to draw or pull; 	possessing the ability to repel	no	non-affixal	_	_	_	_	_	_	_	_	_	_
attractive	unattractive	a	attractive%3:00:01::	unattractive%3:00:00::	pleasing to the eye or mind especially through beauty or charm	lacking beauty or charm	no	affixal	un-	_	direct	_	_	_	_	_	_	_
attributable	unattributable	a	attributable%3:00:00::	unattributable%3:00:00::	capable of being attributed	not attributable	_	_	_	_	_	_	no	affixal	un-	_	direct	_
attributive	predicative	a	attributive%3:00:00::	predicative%3:00:00::	of adjectives; placed before the nouns they modify	of adjectives; relating to or occurring within the predicate of a sentence	no	non-affixal	_	_	_	_	_	_	_	_	_	_
audible	inaudible	a	audible%3:00:00::	inaudible%3:00:00::	heard or perceptible by the ear	impossible to hear; imperceptible by the ear	no	affixal	in-	_	direct	_	_	_	_	_	_	_
auspicious	inauspicious	a	auspicious%3:00:00::	inauspicious%3:00:00::	auguring favorable circumstances and good luck	not auspicious; boding ill	no	affixal	in-	_	direct	_	_	_	_	_	_	_
authorized	unauthorized	a	authorized%3:00:00::	unauthorized%3:00:00::	endowed with authority	not endowed with authority	_	_	_	_	_	_	no	affixal	un-	_	direct	_
autochthonous	allochthonous	a	autochthonous%3:00:00::	allochthonous%3:00:00::	of rocks, deposits, etc.; found where they and their constituents were formed	of rocks, deposits, etc.; found in a place other than where they and their constituents were formed	_	_	_	_	_	_	no	non-affixal	_	_	direct	_
autoecious	heteroecious	a	autoecious%3:00:00::	heteroecious%3:00:00::	of parasites especially rust fungi; completing the entire life cycle on a single host	of parasites; passing through different stages of the life cycle on different host species	_	_	_	_	_	_	no	non-affixal	_	_	_	_
autogamous	endogamous	a	autogamous%3:00:00::	endogamous%3:00:02::	characterized by or fit for autogamy	characterized by or fit for fertilization by pollen from another flower of the same kind	_	_	_	_	_	_	no	non-affixal	_	_	_	_
autogamous	exogamous	a	autogamous%3:00:00::	exogamous%3:00:02::	characterized by or fit for autogamy	characterized by or fit for fertilization by a flower that is not closely related	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
autogenous	heterogenous	a	autogenous%3:00:00::	heterogenous%3:00:00::	originating within the body	originating outside the body	_	_	_	_	_	_	no	non-affixal	_	_	_	_
automatic	manual	a	automatic%3:00:00::	manual%3:00:00::	operating with minimal human intervention; independent of external control	requiring human effort	no	non-affixal	_	_	_	_	_	_	_	_	_	_
autotrophic	heterotrophic	a	autotrophic%3:01:00::	heterotrophic%3:01:00::	of or relating to organisms (as green plants) that can make complex organic nutritive compounds from simple inorganic sources by photosynthesis	requiring organic compounds of carbon and nitrogen for nourishment	_	_	_	_	_	_	no	non-affixal	_	_	_	_
autumnal	wintry	a	autumnal%3:00:00::	wintry%3:00:00::	of or characteristic of or occurring in autumn	characteristic of or occurring in winter	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
available	unavailable	a	available%3:00:00::	unavailable%3:00:00::	obtainable or accessible and ready for use or service	not available or accessible or at hand	no	affixal	un-	_	direct	_	_	_	_	_	_	_
avenged	unavenged	a	avenged%3:44:00::	unavenged%3:44:00::	for which vengeance has been taken	for which vengeance has not been taken	no	affixal	un-	_	direct	_	no	affixal	un-	_	direct	_
awake	asleep	a	awake%3:00:00::	asleep%3:00:00::	not in a state of sleep; completely conscious	in a state of sleep	_	_	_	_	_	_	no	non-affixal	_	_	_	_
awakened	unawakened	a	awakened%3:00:00::	unawakened%3:00:00::	aroused or activated	not aroused or activated	_	_	_	_	_	_	no	affixal	un-	_	direct	_
aware	unaware	a	aware%3:00:00::	unaware%3:00:00::	(sometimes followed by `of') having or showing knowledge or understanding or realization or perception	(often followed by `of') not aware	_	_	_	_	_	_	no	affixal	un-	_	direct	_
awed	unawed	a	awed%3:00:00::	unawed%3:00:00::	having or showing a feeling of mixed reverence and respect and wonder and dread	not awed	no	affixal	un-	_	direct	_	no	affixal	un-	_	direct	_
awned	awnless	a	awned%3:00:00::	awnless%3:00:00::	having awns i.e. bristlelike or hairlike appendages on the flowering parts of some cereals and grasses	lacking or having only very short awns	no	affixal	-less	-ed	indirect	LAC	_	_	_	_	_	_
backed	backless	a	backed%3:00:00::	backless%3:00:00::	having a back or backing, usually of a specified type	lacking a back	_	_	_	_	_	_	no	affixal	-less	_	indirect	LAC
backward	forward	a	backward%3:00:02::	forward%3:00:02::	(used of temperament or behavior) marked by a retiring nature	used of temperament or behavior; lacking restraint or modesty	no	non-affixal	_	_	_	_	_	_	_	_	_	_
balanced	unbalanced	a	balanced%3:00:00::	unbalanced%3:00:00::	being in a state of proper equilibrium	being or thrown out of equilibrium	no	affixal	un-	_	direct	_	_	_	_	_	_	_
balconied	unbalconied	a	balconied%3:00:00::	unbalconied%3:00:00::	having balconies or a balcony	not having balconies	_	_	_	_	_	_	no	affixal	un-	_	direct	_
banded	unbanded	a	banded%3:00:00::	unbanded%3:00:00::	identified with a band especially around a leg	not identified with a band	no	affixal	un-	_	direct	_	_	_	_	_	_	_
baptized	unbaptized	a	baptized%3:00:00::	unbaptized%3:00:00::	having undergone the Christian ritual of baptism	not having undergone the Christian ritual of baptism	_	_	_	_	_	_	no	affixal	un-	_	direct	_
barreled	unbarreled	a	barreled%3:00:00::	unbarreled%3:00:00::	put in or stored in a barrel	not in a barrel	no	affixal	un-	_	direct	_	no	affixal	un-	_	direct	_
basic	incidental	a	basic%3:00:00::	incidental%3:00:00::	pertaining to or constituting a base or basis	(sometimes followed by `to') minor or casual or subordinate in significance or nature or occurring as a chance concomitant or consequence	no	non-affixal	_	_	_	_	_	_	_	_	_	_
beaked	beakless	a	beaked%3:00:00::	beakless%3:00:00::	having or resembling a beak	not having a beak or bill	no	affixal	-less	-ed	indirect	LAC	_	_	_	_	_	_
bearing	nonbearing	a	bearing%3:00:00::	nonbearing%3:00:00::	(of a structural member) withstanding a weight or strain	(of a structural member) supporting no vertical weight other than its own	_	_	_	_	_	_	no	affixal	non-	_	indirect	OPP
beautiful	ugly	a	beautiful%3:00:00::	ugly%3:00:00::	delighting the senses or exciting intellectual or emotional admiration	displeasing to the senses	no	non-affixal	_	_	_	_	_	_	_	_	_	_
bedded	bedless	a	bedded%3:00:00::	bedless%3:00:00::	having a bed or beds as specified	without a bed	_	_	_	_	_	_	no	affixal	-less	_	indirect	LAC
bellied	bellyless	a	bellied%3:00:00::	bellyless%3:00:00::	having a belly; often used in combination	lacking a prominent belly	no	affixal	-less	-ed	indirect	LAC	_	_	_	_	_	_
belted	unbelted	a	belted%3:00:00::	unbelted%3:00:00::	having or provided with a belt	lacking a belt	no	affixal	un-	_	direct	_	no	affixal	un-	_	direct	_
beneficed	unbeneficed	a	beneficed%3:00:00::	unbeneficed%3:00:00::	having a benefice	not having a benefice	no	affixal	un-	_	direct	_	_	_	_	_	_	_
beneficent	maleficent	a	beneficent%3:00:00::	maleficent%3:00:00::	doing or producing good	harmful or evil in intent or effect	_	_	_	_	_	_	no	affixal	mal-	_	indirect	WRO
benign	malign	a	benign%3:00:00::	malign%3:00:00::	pleasant and beneficial in nature or influence	evil or harmful in nature or influence	_	_	_	_	_	_	no	affixal	mal-	_	indirect	WRO
benign	malignant	a	benign%3:00:02::	malignant%3:00:02::	not dangerous to health; not recurrent or progressive (especially of a tumor)	dangerous to health; characterized by progressive and uncontrolled growth (especially of a tumor)	_	_	_	_	_	_	no	affixal	mal-	_	indirect	WRO
better	worse	a	better%3:00:02::	worse%3:00:02::	(comparative of `good') changed for the better in health or fitness	changed for the worse in health or fitness	_	_	_	_	_	_	no	non-affixal	_	_	_	_
bettering	worsening	a	bettering%3:00:00::	worsening%3:00:00::	changing for the better	changing for the worse	_	_	_	_	_	_	no	non-affixal	_	_	_	_
bibbed	bibless	a	bibbed%3:00:00::	bibless%3:00:00::	having a bib	lacking a bib	_	_	_	_	_	_	no	affixal	-less	_	indirect	LAC
bicameral	unicameral	a	bicameral%3:00:00::	unicameral%3:00:00::	composed of two legislative bodies	composed of one legislative body	_	_	_	_	_	_	no	affixal	un-	_	direct	_
bidirectional	unidirectional	a	bidirectional%3:00:00::	unidirectional%3:00:00::	reactive or functioning or allowing movement in two usually opposite directions	operating or moving or allowing movement in one direction only	no	non-affixal	_	_	_	_	_	_	_	_	_	_
biennial	perennial	a	biennial%3:00:00::	perennial%3:00:00::	having a life cycle lasting two seasons	lasting three seasons or more	no	non-affixal	_	_	_	_	_	_	_	_	_	_
big	little	a	big%3:00:01::	little%3:00:01::	above average in size or number or quantity or magnitude or extent	limited or below average in number or quantity or magnitude or extent	_	_	_	_	_	_	no	non-affixal	_	_	_	_
